full_name,first_name,last_name,country,id,type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,type_avg,diff_avg,player_avg
Edin Džeko,Edin,Džeko,Bosnia-and-Herzegovina,790,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0.43,0.29,0.75,0.6,0.42,0.43,0.34,0.54,0.24,0.28,0.75,0.51,0.38,0.43,0.45,0.07,0.49
Edin Džeko,Edin,Džeko,Bosnia-and-Herzegovina,790,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.17,1.5,0.65,0,0.29,0.67,0.82,0,0.75,1,0.33,0.75,0.33,0.52,0.07,0.49
Amer Gojak,Amer,Gojak,Bosnia-and-Herzegovina,1320,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.05,0.12,0.04,0.1,0.11,0.06,0.05,0.09
Amer Gojak,Amer,Gojak,Bosnia-and-Herzegovina,1320,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.44,0.11,0.05,0.09
Izet Hajrovic,Izet,Hajrovic,Bosnia-and-Herzegovina,1327,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.21,0.08,0.28,0.21,0.09,0.11,0.1,0,0.33,0,0.13,0.16,0.21
Izet Hajrovic,Izet,Hajrovic,Bosnia-and-Herzegovina,1327,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.22,1,0,0,0.5,-1,0.33,0.29,0.16,0.21
Armin Hodzic,Armin,Hodzic,Bosnia-and-Herzegovina,2351,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.17,0.5,0.55,0.25,0.17,0.38,0.25,-0.06,0.22
Armin Hodzic,Armin,Hodzic,Bosnia-and-Herzegovina,2351,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0.75,0.19,-0.06,0.22
Vedad Ibisevic,Vedad,Ibisevic,Bosnia-and-Herzegovina,25359,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,0.25,0.16,1.06,0.34,0.3,0.52,0.51,0.45,0,0.4,0.37,0.21,0.41,0.33,0.37,-0.17,0.29
Vedad Ibisevic,Vedad,Ibisevic,Bosnia-and-Herzegovina,25359,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.17,0,0.2,0,0.31,0.67,0.65,0,0.15,0,0.3,-1,-1,0.2,-0.17,0.29
Senijad Ibricic,Senijad,Ibricic,Bosnia-and-Herzegovina,105868,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.25,0.55,0.33,0.11,0.21,0.32,0.22,0,0.2,0.35,0.33,0.3,0.51,-0.48,0.27
Senijad Ibricic,Senijad,Ibricic,Bosnia-and-Herzegovina,105868,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.13,-1,0.09,0,0,-1,-1,-1,-1,-1,-1,0.03,-0.48,0.27
Senad Lulic,Senad,Lulic,Bosnia-and-Herzegovina,1855,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.2,0.2,0.11,0.06,0.19,0.14,0.08,0.09,0.1,0.09,0,0.11,0.05,0.14
Senad Lulic,Senad,Lulic,Bosnia-and-Herzegovina,1855,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.08,-1,0.08,1,0.12,-1,-1,0.16,0.05,0.14
Haris Medunjanin,Haris,Medunjanin,Bosnia-and-Herzegovina,50744,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.29,0,0.06,0.24,0.67,0.11,0.12,0.06,0.08,0,0.08,0.08,0.03,0.06,0.16,-0.06,0.13
Haris Medunjanin,Haris,Medunjanin,Bosnia-and-Herzegovina,50744,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0,0.2,0,0.08,0,0.17,0,0.22,-1,-1,0.1,-0.06,0.13
Zvjezdan Misimovic,Zvjezdan,Misimovic,Bosnia-and-Herzegovina,115103,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.35,0.2,0.36,0.24,0.31,0,0.26,0,0,-1,-1,-1,-1,-1,-1,0.19,-0.03,0.18
