full_name,first_name,last_name,country,id,club1991,nt1991,club1992,nt1992,club1993,nt1993,club1994,nt1994,club1995,nt1995,club1996,nt1996,club1997,nt1997,club1998,nt1998,club1999,nt1999,club2000,nt2000,club2001,nt2001,club2002,nt2002,club2003,nt2003,club2004,nt2004,club2005,nt2005,club2006,nt2006,club2007,nt2007,club2008,nt2008,club2009,nt2009,club2010,nt2010,club2011,nt2011,club2012,nt2012,club2013,nt2013,club2014,nt2014,club2015,nt2015,club2016,nt2016,club2017,nt2017,club2018,nt2018,club2019,nt2019,club2020,nt2020
Filip Hološko,Filip,Hološko,Slovakia,66106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.31,0.29,0.32,0,0.45,0.25,0.35,0,0.26,0.1,0.32,0.5,0.15,0.07,0.35,0,0.15,0.2,0.07,0,0.42,0,0.29,-1,0.24,-1,0.09,-1,0,-1
Martin Jakubko,Martin,Jakubko,Slovakia,117995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,0,0.5,0.33,0,0,0.25,0.31,-1,0.4,1,0.19,0,0.2,0.5,0,0,0.24,0,-1,-1,-1,-1,-1,-1,-1,-1
Juraj Kucka,Juraj,Kucka,Slovakia,31023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.21,-1,0.2,0,0.22,0,0.12,0.5,0.07,0,0.09,0.25,0.17,0,0.06,0,0.03,0.2,0.12,0,0.12,0.1,0.14,0.33,0.21,0.22
Róbert Mak,Róbert,Mak,Slovakia,1213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14,-1,0.18,-1,0.23,0.25,0,0.12,0.2,1,0.76,0.13,0.22,0,0.25,0.15,0.17,0.25,0.15,0.12
Adam Nemec,Adam,Nemec,Slovakia,15447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,-1,0,-1,0.62,-1,0.33,-1,0.19,-1,0.17,-1,0.15,0,0.21,-1,0.3,0,0.17,0.14,0.22,0,0,0.38,0.38,0,0.21,0.64,0.56,0,0.07,-1
Albert Rusnak,Albert,Rusnak,Slovakia,51212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.26,-1,0.12,0,0.17,0,0.33,0.22,0.32,0.33,0.21,0.12
Filip Šebo,Filip,Šebo,Slovakia,210711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.88,-1,0.29,-1,0.29,0,0.12,0.4,0.05,-1,0.09,1,0.86,0,0.19,0.25,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Martin Škrtel,Martin,Škrtel,Slovakia,1350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.06,0,0.04,0,0.04,0.5,0,0.33,0,0,0.03,0.08,0.04,0,0.09,0,0.06,0,0.16,0,0.02,0,0.04,0,0.08,0,0.09,0.1,0.02,0,0.14,-1
Miroslav Stoch,Miroslav,Stoch,Slovakia,1244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,0.27,0.15,0.1,0,0.32,0.17,0,0,0.15,0,0.25,0,0.07,0.18,0.24,-1,0.16,0,0.29,0,0,0
Róbert Vittek,Róbert,Vittek,Slovakia,72041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0.66,0,-1,0.25,-1,0,0.53,0.43,0.17,0,0.06,0.33,0.21,0.4,0.3,0.31,0.08,0,0,0,0.44,0,0.76,0,0.27,0,0.51,0,0.15,-1,0.25,-1,0,-1,0,-1
Vladimír Weiss,Vladimír,Weiss,Slovakia,42316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.06,0,0.15,0,0.15,0.22,0.22,0,0.32,0.09,0.32,0,0.42,0.12,0.48,0,0.71,0.25,0.4,0,0.12,-1
Valter Birsa,Valter,Birsa,Slovenia,30559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27,-1,0.54,-1,0.16,-1,0.14,0,0.11,0,0.08,0.19,0.14,0,0.17,0,0.11,0.25,0.1,0.14,0,-1,0.17,0.07,0.19,-1,0.11,0.1,0.06,-1,0,-1
Zlatko Dedi?,Zlatko,Dedi?,Slovenia,7740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.17,-1,0,0,0.19,0,0.17,0.22,0.13,0.33,0.46,0.3,0.34,0,0.19,0,0.22,-1,0.18,-1,0.22,-1,0.5,-1,0.3,-1,0.42,-1
Josip Ili?i?,Josip,Ili?i?,Slovenia,30434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,-1,0.33,-1,0.09,0,0.24,0,0.17,0,0.34,0,0.19,0.11,0.29,-1,0.41,0.07,0.19,-1,0.37,0.25,0.36,0,0.62,0.4
Andraž Kirm,Andraž,Kirm,Slovenia,105757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.18,0,0.09,0.16,0.3,0,0.14,0.15,0.06,0,0.07,0.09,0.24,0,0.16,0,0.08,-1,0.07,-1,0.04,-1,0,-1
Tim Matavž,Tim,Matavž,Slovenia,37135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.39,-1,0,-1,0.35,-1,0.44,0,0.57,1,0.5,0.56,0.53,0.33,0.17,0.2,0.17,0,0,0,0.24,-1,0.42,0,0.55,0,0.48,1
Milivoje Novakovi?,Milivoje,Novakovi?,Slovenia,115030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,-1,0.61,0.21,0.53,0,0.22,0.42,0.63,0.5,0.35,0.22,0.44,1,0.35,0.62,0.19,-1,0.5,0.46,0.34,-1,0,0.25,-1,-1,-1,-1
Nejc Pe?nik,Nejc,Pe?nik,Slovenia,91662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0,0.06,0.22,0,0,0.04,0.5,0,0,0.26,0,0.29,-1,0.04,0.25,0,-1,0.09,-1,-1,-1,0.32,-1
Benjamin Verbi?,Benjamin,Verbi?,Slovenia,2183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.2,-1,0.16,-1,0.27,-1,0.41,0,0.16,0,0.15,-1,0.39,0.17,0.36,0.25,0.39,0.22
Haris Vu?ki?,Haris,Vu?ki?,Slovenia,36845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.07,0,0.33,-1,0.15,-1,0.44,-1,0.12,-1,0.09,-1,0.27,-1,0.14,-1,0.42,0.33
Miha Zajc,Miha,Zajc,Slovenia,1369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.12,-1,0.07,-1,0.15,-1,0.14,0,0.34,0,0.19,0.5,0.15,0.33,0.11,0.25
Isco Alarcón,Isco,Alarcón,Spain,745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.29,-1,0.13,-1,0.26,0,0.2,0,0.1,0,0.11,0.22,0.26,0,0.19,0.56,0.16,0.33,0.07,0
Paco Alcácer,Paco,Alcácer,Spain,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.41,-1,0.17,-1,0.38,0,0.38,0.5,0.34,0.5,0.31,-1,0.32,2,0.66,1,0.34,0.75
Xabi Alonso,Xabi,Alonso,Spain,90657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.09,0,0.08,0,0.07,0.07,0.09,0,0.09,0.12,0.11,0.38,0.07,0.14,0.02,0.29,0.02,0.24,0,0,0,0.11,0.09,-1,0.05,-1,0.08,-1,-1,-1,-1,-1,-1,-1
Santi Cazorla,Santi,Cazorla,Spain,1695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.07,-1,0,-1,0.15,-1,0.17,0.11,0.21,0,0.2,0.09,0.15,0.29,0.21,0.31,0.24,0.33,0.15,0,0.13,0.33,0.04,0.29,0.18,-1,-1,-1,0.15,-1,0.36,0.25
Diego Costa,Diego,Costa,Spain,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.2,-1,0.29,-1,0.25,-1,0.21,-1,0.62,-1,0.43,-1,0.71,0,0.55,0,0.39,0.2,0.52,0,0.3,0.69,0.21,-1,0.17,-1
Cesc Fàbregas,Cesc,Fàbregas,Spain,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06,-1,0.08,0,0.08,0,0.31,0.05,0.09,0.29,0.53,0.18,0.25,0.67,0.3,0.25,0.3,0.29,0.26,0,0.11,0.33,0.12,0.07,0.18,-1,0.06,-1,0.07,-1,0,-1
Raúl González,Raúl,González,Spain,115023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Andrés Iniesta,Andrés,Iniesta,Spain,33243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09,-1,0.05,-1,0.02,0,0.17,0.33,0.1,0.14,0.14,0,0.02,0.17,0.18,0.14,0.17,0.12,0.13,0,0.06,0.07,0.07,0,0.02,0.09,0.03,0.25,0.08,0,0.27,-1,0.2,-1
Álvaro Morata,Álvaro,Morata,Spain,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,0.45,-1,0.42,-1,0.26,0,0.32,0,0.27,0.46,0.49,0.67,0.31,0.71,0.36,0,0.36,0.67
Sergio Ramos,Sergio,Ramos,Spain,738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.06,0,0.12,0.14,0.15,0,0.12,0.09,0.12,0,0.1,0.05,0.09,0,0.08,0.1,0.13,0,0.13,0.13,0.13,0,0.12,0.08,0.23,0.67,0.12,0.12,0.24,0.75,0.31,0.4
Pedro Rodríguez,Pedro,Rodríguez,Spain,2299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.42,0.1,0.42,0.33,0.3,0.57,0.21,0.33,0.35,0.33,0.22,0,0.24,0.21,0.3,0,0.17,0,0.24,-1,0.09,-1
